Domain,Entity ID,Name,State,Unit,Device class,Last changed,Last updated
"number","number.boiler_silentfrom","ems-esp Boiler Silent mode from","1320","min","duration","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"number","number.boiler_silentto","ems-esp Boiler Silent mode to","360","min","duration","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"number","number.boiler_tempdiffcool","ems-esp Boiler Temp diff TC3/TC0 cool","3","K","temperature","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"number","number.boiler_tempdiffheat","ems-esp Boiler Temp diff TC3/TC0 heat","7","K","temperature","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"number","number.boiler_tempparmode","ems-esp Boiler Outside temp parallel mode","-7.0","°C","temperature","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"number","number.thermostat_dhw_chargeduration","ems-esp Thermostat dhw Charge duration","60","min","duration","08/09/2026, 22:29:40","08/09/2026, 22:29:40"
"number","number.thermostat_dhw_dailyheattime","ems-esp Thermostat dhw Daily heating time","840","min","duration","08/09/2026, 22:29:40","08/09/2026, 22:29:40"
"number","number.thermostat_dhw_disinfecttime","ems-esp Thermostat dhw Disinfection time","120","min","duration","08/09/2026, 22:29:40","08/09/2026, 22:29:40"
"number","number.thermostat_energycostratio","ems-esp Thermostat Energy cost ratio","3.3","","","08/09/2026, 22:29:40","08/09/2026, 22:29:40"
"number","number.thermostat_hc1_comforttemp","ems-esp Thermostat hc1 Comfort temperature","19.5","°C","temperature","08/09/2026, 22:29:40","08/09/2026, 22:29:40"
"number","number.thermostat_hc1_cooloffdelay","ems-esp Thermostat hc1 Cooling off delay","4","h","duration","08/09/2026, 22:29:40","08/09/2026, 22:29:40"
"number","number.thermostat_hc1_coolondelay","ems-esp Thermostat hc1 Cooling on delay","8","h","duration","08/09/2026, 22:29:40","08/09/2026, 22:29:40"
"number","number.thermostat_hc1_coolstart","ems-esp Thermostat hc1 Cooling starttemp","35","°C","temperature","08/09/2026, 22:29:40","08/09/2026, 22:29:40"
