Domain,Entity ID,Name,State,Unit,Device class,Last changed,Last updated,attr_id,attr_last_triggered,attr_mode,attr_current
"sensor","sensor.nc_schmidt4lev_de_cache_speichergrosse","nc.schmidt4lev.de Cache-Speichergröße","unavailable","MB","data_size","30/08/2026, 00:05:53","30/08/2026, 00:05:53","","","",""
"sensor","sensor.nc_schmidt4lev_de_cpu_last_letzte_15_min","nc.schmidt4lev.de CPU-Last (letzte 15 min)","unavailable","load","","30/08/2026, 00:05:53","30/08/2026, 00:05:53","","","",""
"sensor","sensor.nc_schmidt4lev_de_cpu_last_letzte_5_min","nc.schmidt4lev.de CPU-Last (letzte 5 min)","unavailable","load","","30/08/2026, 00:05:53","30/08/2026, 00:05:53","","","",""
"sensor","sensor.nc_schmidt4lev_de_cpu_last_letzte_minute","nc.schmidt4lev.de CPU-Last (letzte Minute)","unavailable","load","","30/08/2026, 00:05:53","30/08/2026, 00:05:53","","","",""
"sensor","sensor.nc_schmidt4lev_de_freier_auslagerungsspeicher","nc.schmidt4lev.de Freier Auslagerungsspeicher","unavailable","GB","data_size","30/08/2026, 00:05:53","30/08/2026, 00:05:53","","","",""
"sensor","sensor.nc_schmidt4lev_de_freier_speicher","nc.schmidt4lev.de Freier Speicher","unavailable","GB","data_size","30/08/2026, 00:05:53","30/08/2026, 00:05:53","","","",""
"sensor","sensor.nc_schmidt4lev_de_freier_speicherplatz","nc.schmidt4lev.de Freier Speicherplatz","unavailable","GB","data_size","30/08/2026, 00:05:53","30/08/2026, 00:05:53","","","",""
"sensor","sensor.nc_schmidt4lev_de_gesamter_auslagerungsspeicher","nc.schmidt4lev.de Gesamter Auslagerungsspeicher","unavailable","GB","data_size","30/08/2026, 00:05:53","30/08/2026, 00:05:53","","","",""
"sensor","sensor.nc_schmidt4lev_de_gesamter_speicher","nc.schmidt4lev.de Gesamter Speicher","unavailable","GB","data_size","30/08/2026, 00:05:53","30/08/2026, 00:05:53","","","",""
"sensor","sensor.nc_schmidt4lev_de_maximale_dateigrosse_fur_php_upload","nc.schmidt4lev.de Maximale Dateigröße für PHP-Upload","unavailable","MB","data_size","30/08/2026, 00:05:53","30/08/2026, 00:05:53","","","",""
"sensor","sensor.nc_schmidt4lev_de_maximale_php_ausfuhrungszeit","nc.schmidt4lev.de Maximale PHP-Ausführungszeit","unavailable","s","duration","30/08/2026, 00:05:53","30/08/2026, 00:05:53","","","",""
"sensor","sensor.nc_schmidt4lev_de_php_speicherlimit","nc.schmidt4lev.de PHP-Speicherlimit","unavailable","MB","data_size","30/08/2026, 00:05:53","30/08/2026, 00:05:53","","","",""
"sensor","sensor.nc_schmidt4lev_de_php_version","nc.schmidt4lev.de PHP-Version","unavailable","","","30/08/2026, 00:05:53","30/08/2026, 00:05:53","","","",""
"sensor","sensor.nc_schmidt4lev_de_system_design","nc.schmidt4lev.de System-Design","unavailable","","","30/08/2026, 00:05:53","30/08/2026, 00:05:53","","","",""
"sensor","sensor.nc_schmidt4lev_de_systemversion","nc.schmidt4lev.de Systemversion","unavailable","","","30/08/2026, 00:05:53","30/08/2026, 00:05:53","","","",""
"sensor","sensor.nc_schmidt4lev_de_updates_verfugbar","nc.schmidt4lev.de Updates verfügbar","unavailable","","","30/08/2026, 00:05:53","30/08/2026, 00:05:53","","","",""
"sensor","sensor.nc_schmidt4lev_de_webserver","nc.schmidt4lev.de Webserver","unavailable","","","30/08/2026, 00:05:53","30/08/2026, 00:05:53","","","",""
"sensor","sensor.netzbezug_aktuell","Netzbezug Aktuell","699.871","W","","30/08/2026, 00:35:28","30/08/2026, 00:35:28","","","",""
"sensor","sensor.node_vm01_containers_running","Node vm01 Container laufen","5","","","30/08/2026, 00:01:06","30/08/2026, 00:35:07","","","",""
"sensor","sensor.node_vm01_cpu_used","Node vm01 CPU-Auslastung","5.17595076534638","%","","30/08/2026, 00:35:07","30/08/2026, 00:35:07","","","",""
"sensor","sensor.node_vm01_disk_used_percentage","Node vm01 Prozentsatz belegter Speicherplatz","91.5394641381765","%","","30/08/2026, 00:35:07","30/08/2026, 00:35:07","","","",""
"sensor","sensor.node_vm01_memory_free","Node vm01 Freier Arbeitsspeicher","1.331347456","GB","data_size","30/08/2026, 00:35:07","30/08/2026, 00:35:07","","","",""
"sensor","sensor.node_vm01_memory_used","Node vm01 Genutzter Arbeitsspeicher","25.836167168","GB","data_size","30/08/2026, 00:35:07","30/08/2026, 00:35:07","","","",""
"sensor","sensor.node_vm01_memory_used_percentage","Node vm01 Prozentsatz genutzter Arbeitsspeicher","77.466473178297","%","","30/08/2026, 00:35:07","30/08/2026, 00:35:07","","","",""
"sensor","sensor.node_vm01_total_updates","Node vm01 Gesamte Updates","19","","","30/08/2026, 00:01:06","30/08/2026, 00:01:06","","","",""
"sensor","sensor.node_vm01_uptime","Node vm01 Letzter start","2026-08-24T09:40:55+00:00","","timestamp","30/08/2026, 00:35:07","30/08/2026, 00:35:07","","","",""
"sensor","sensor.node_vm01_virtual_machines_running","Node vm01 Virtual machines running","2","","","30/08/2026, 00:01:06","30/08/2026, 00:34:06","","","",""
"sensor","sensor.notifications","Bosch sensors","No notifications","","","30/08/2026, 00:01:21","30/08/2026, 00:01:21","","","",""
